Gemeente;GemeenteCode;VVD;CDA;PVV;D66;SP;GROENLINKS;PvdA;CU;50PLUS;PvdD;SGP;FvD;DENK;VNL;Piratenpartij;NIEUWE WEGEN;OndernemersPartij;Artikel 1;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;Vrijzinnige Partij;JEZUS LEEFT;Libertarische Partij (LP);MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Partij (VDP);;
Renkum;0274;5001;2524;1879;3518;1471;2439;1469;579;524;909;125;286;92;49;50;22;13;8;8;13;11;4;7;6;2;15;1;;;
Rheden;0275;5829;3091;3529;4016;3157;2868;2176;744;763;1151;132;370;322;86;82;41;33;16;14;21;16;11;4;22;0;15;0;;;
Rijnwaarden;0196;1447;958;1309;655;958;373;309;63;347;163;12;130;6;27;17;8;7;1;4;4;4;2;5;1;0;6;2;;;
Rozendaal;0277;456;115;61;197;17;85;65;24;21;40;5;16;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;;;
Scherpenzeel;0279;1418;1059;712;336;216;158;167;561;109;62;1281;123;10;25;5;3;6;0;5;1;0;0;0;6;0;2;0;;;
Voorst;0285;4340;2960;1444;1994;1394;953;1003;313;544;319;301;210;58;53;25;10;26;0;14;12;12;1;3;6;1;4;3;;;
Wageningen;0289;3232;1853;1418;5485;1678;4760;1775;1124;378;1040;233;270;92;37;118;20;11;23;8;14;15;11;10;8;4;8;1;;;
Westervoort;0293;1859;1202;1484;1186;1275;803;606;204;378;298;20;161;70;27;24;15;11;5;6;6;3;6;3;5;5;7;1;;;
Winterswijk;0294;4174;2835;1707;2279;2160;1572;1482;363;618;369;64;276;155;94;39;16;38;5;10;9;10;3;9;10;3;11;1;;;
Zevenaar;0299;4947;3262;2778;2487;2527;1511;1286;209;836;563;26;310;186;64;44;34;22;8;20;18;5;6;6;4;5;10;0;;;
Zutphen;0301;4971;2799;2944;4137;3760;4005;2517;910;859;1689;109;371;553;74;95;38;40;22;10;14;24;20;13;22;5;22;9;;;
Amersfoort;0307;20255;9192;8611;14970;6766;11847;5408;6585;1988;3373;910;1404;3414;286;401;147;91;123;;57;40;59;28;40;26;35;6;;;
Baarn;0308;4438;1764;1529;2394;931;1413;862;586;417;593;192;298;246;57;48;14;14;15;;8;7;7;2;4;22;8;0;;;
Bunnik;0312;2505;1494;798;1700;462;1362;685;328;206;310;161;136;14;16;32;14;9;8;;2;12;7;3;1;1;1;0;;;
Bunschoten;0313;2040;3342;1775;342;310;258;169;3428;242;98;1015;223;95;29;26;6;5;4;;4;0;2;0;63;1;5;1;;;
De Bilt;0310;7620;2923;2378;4603;1650;3247;1703;999;586;1124;893;393;234;85;91;31;23;18;;17;6;14;9;12;4;12;0;;;
De Ronde Venen;0736;9331;3921;3294;3435;1170;1916;1211;914;811;812;446;612;207;128;80;35;59;19;;13;11;9;6;7;6;14;0;;;
Eemnes;0317;1906;804;640;800;344;374;342;170;185;207;56;150;8;23;18;9;10;1;;4;5;1;0;4;1;3;0;;;
Houten;0321;7958;3810;3147;4622;1827;3129;1734;1968;831;863;728;448;155;104;94;29;40;47;;9;6;15;7;11;4;5;1;;;
IJsselstein;0353;5783;2634;2804;2996;1447;1630;1036;517;693;551;212;368;399;87;44;19;25;35;;8;8;6;4;15;3;4;0;;;
Leusden;0327;5464;2968;1501;2896;1167;1770;1037;1186;490;596;376;395;73;63;62;21;25;12;;13;12;11;6;6;5;11;0;;;
Lopik;0331;2199;1761;1438;566;438;339;268;724;250;170;727;139;69;45;17;10;11;3;;6;7;2;2;9;0;5;2;;;
Montfoort;0335;2643;1504;1086;922;416;528;356;501;216;174;521;179;80;31;22;10;14;3;;5;1;5;3;7;0;6;0;;;
Nieuwegein;0356;8169;3965;6093;4540;3668;3201;2273;1000;1527;1148;233;668;684;166;156;57;35;133;;24;17;21;9;29;3;14;4;;;
Oudewater;0589;2004;1243;760;648;287;357;223;358;163;142;297;117;18;36;11;5;7;2;;1;3;1;1;4;0;2;1;;;
Renswoude;0339;670;709;363;124;103;62;53;290;71;45;670;67;3;16;3;0;2;0;;4;0;2;0;2;0;0;0;;;
Rhenen;0340;2521;1573;1663;1096;613;760;577;733;307;254;2002;232;124;52;17;6;9;2;;11;5;5;2;10;4;4;0;;;
Soest;0342;8575;3414;3449;3805;1472;2334;1311;1073;810;992;481;512;1130;97;91;28;27;22;;15;16;5;14;13;1;9;2;;;
Stichtse Vecht;1904;11581;4789;5296;5675;2363;3263;2116;1341;1288;1254;826;743;360;148;124;51;48;42;;28;19;5;11;27;11;12;1;;;
Utrecht;0344;35248;11377;15157;46444;9995;42093;12030;5486;2952;9482;671;2430;11441;380;1077;196;144;644;;95;58;132;61;74;43;59;11;;;
Utrechtse Heuvelrug;1581;8758;4025;2976;4669;1668;3136;1705;1337;792;1183;1297;555;305;72;72;44;26;12;;18;13;11;8;21;2;13;1;;;
